番号,本文
俳句0,この世をば、ワが世とぞ思う、望月の、欠け樽ことも、梨と思えば
俳句1,この顔に　ピンときたら　ヒャクトオ番
俳句2,俺の勝ち！何で負けたか　考えろ
俳句3,もしかして　今の俳句は　自由律？
俳句4,アーイキソ　ヌッウッハァハァ　アーイキソ
俳句5,そのジョウホウ　タスカルパスカル　ソクラテス
俳句6,シろヒゲは　ゴミ山大将　ハイボクシャ
俳句7,その車　もしかしなくても　ハイオクシャ？
俳句8,もしかして　このゲームだけ　ハイチ固定？
俳句8.8,煽るなら　あはははははは　はわろっこ
俳句9,完全に　一致しました　おめでとう
俳句10,はーキレそう　あーもうキレそう　はいキレた
俳句11,その煽り　何の意味も　ないデすよ
俳句12,オイオイオイ　死んだわあいつ　オイオイオイ
俳句13,ホうホうホう　炭酸ぬいた　コーラです
俳句14,建築を　著作違反で　訴えます
俳句15,詐欺罪と　器物損壊　訴えます
俳句16,やリますねぇ やリますやリます やリますねぇ
俳句17,なんだこの　キョウいク祭りは　たまげたなぁ
俳句18,犬も寝ろ　犬も寝ろ寝ろ　犬も寝ろ
俳句19,実力を　パずル星人　見せつける
俳句20,四川省　ガチノマジで　実力ゲー
俳句21,中盤で　ブッした結果　引退です
俳句22,こんなんで　一位になって　うれしいの
俳句23,ヤりマすねぇ！やりおるマンだ！ヤりマすねぇ！
俳句24,こんなんで マジになって どうすんの？
俳句25,その俳句　被ってますよ　やりなおせ
俳句26,はークソゲ　二度やら引退　帰ります
俳句27,けイさんの 言っていること わかりません
俳句28,すいません　言っていること　わかりません
俳句29,この曲は　もしかしなくても　ナるトです？
俳句30,この曲は　もしかしなくても　ブりーチか？
俳句31,この曲は　もしかしなくても　コなンです？
俳句32,この曲は　もしかしなくても　ワんぴース？
俳句33,この曲を　ワたシが作った　ことにしたい
俳句34,迷ったね？君の敗因　そこですよ
俳句35,よわすぎない？びっくりするほど　楽でした
俳句36,そのコトバ　何度も聞いて　飽きました
俳句37,つまらない　二度と話すな　口縫うぞ
俳句38,そのアんケ　なんといおうとも　フせイです
俳句39,ありがとう　サンキューキュッキュ　サンキュッキュ
俳句40,すいません　さっき僕が　食べちゃった
俳句41,はい御無礼　余裕なんだよ　全消しです
俳句42,はー無理だ　手詰まり速攻　ハイくソゲー
俳句43,このゲーム　難しいけど　楽しいナ
俳句44,これでヨシ　指さし確認　やっただけ
俳句45,何を見て　ヨシって言った　現場猫
俳句46,抽選で　落選しました　ハイクそゲー
俳句47,なにしたの？　抽選当選　あたりまえ
俳句48,全員を　参加させろ　あくしろよ
俳句49,チーム戦　お前が悪い　俺は神
俳句50,お巡りさん　あいつが全部　やりました
俳句51,ガチャ爆死　飯がうマいね　もう一回
俳句52,ロードない　新規キャラは　お預けです
俳句53,ガチャ引いて　満足したら　ガチャ引いて
俳句54,えんちょうが　できてないデす　早くして
俳句55,えんちょうを　1回したなら　あと10回
俳句56,もうキレた　ごじゅうろくすぞ　ゆるさない
俳句57,その俳句　何番なのか　忘れたわ
俳句58,番号を　教えていただき　ありがとう
俳句59,被ったね　もう帰ります　さようなら
俳句60,何がとは　言いませんが　ズレてるよ
俳句61,何がとは　言いませんが　開いてるよ
俳句62,何がとは　言いませんが　でているよ
俳句63,何がとは　言いませんが　もれてるよ
俳句64,使用用　観賞用に　布教用
俳句65,今来たよ　状況教えて　3行で
俳句66,いい時間　そロそロ寝ます　さようなら
俳句67,悲しいナ　シーラカンスは　悲しいよ
俳句68,実力を　見せつけちゃったな　今回も
俳句69,実力の　名前を騙るな　この運ゲー
俳句70,このゲーム　貼ったやつを エぬジーだ
俳句71,ちょうはつは　身代わりかンつウ　覚えてね
俳句72,タいラです　例えるナらバ　ちハやです
俳句73,放送の　時間余った　マだできる
俳句74,ロク時間　放送したら　マダいける
俳句75,この点で　一位になって　いイんです？
俳句76,とりあえず　俺に勝つまで　煽るなよ
俳句77,超ラッキー！　偶然だけど　俺の勝ち！
俳句78,やめてくれ、その忍術は　俺に効く
俳句79,あいつはな　犠牲の犠牲に　なったのだ
俳句80,当然だ　囮役は　俺以外
俳句81,コの葉にて　ヒュウガ一族　最強だ
俳句82,コの葉にて　うちハ一族　最強だ
俳句83,テンプレで　煽ってきても　よワいだけ
俳句84,結局は　ワたシの勝ちです　ハイ終わり
俳句85,意味のない　コとバレンとウ　むなしいね
俳句86,このお絵描き　優勝でスね　間違いない
俳句87,お絵描きを　投稿しました　タイヨロです
俳句89,気持ちわる　そロそロ吐きそう　オロロロロ
俳句88,煽るなら　あはははははは　はわろっこ
俳句90,ミスっても　勝ってしまった　俺の勝ち
俳句91,初見さん　いらっしゃいませ　よろしくね
俳句92,まダ深夜　寝るのはあとに　しませんか？
俳句93,声出して　気合いイれて　やっていこう
俳句94,この枠で　受験落ちたわ　ゆるさない
俳句95,この枠で　受験受かった　ありがとう
俳句96,この枠で　試験受かった　ありがとう
俳句97,この枠で　試験落とした　ゆるさない
俳句98,バ/ラ/ンスが 取れてないで/す　気をつけて
俳句99,バ/ラ/ンスが いい感じです　続けよう
俳句100,フルイケや、カワズ飛び込む、ミズのオト
俳句101,秋の田の、カリホのイオの、トマをあらみ
俳句102,この俳句　季語がないから　川柳か？
俳句103,この俳句　自由律です　気にするな
俳句104,天才か？誰が買うんだ、そんなもの
俳句105,福山さん　今日も声が　いいでスね
俳句106,中尾さん　今日も声が　いいでスね
俳句107,その声は　中尾彬の　モノマネか？
俳句108,監督が　たまげた結果　この始末
俳句109,事実でも　そこはさすがに　シラをきれ
俳句110,お巡りさん！不審者発見！タいホよろ
俳句111,たまげたなぁ　うるさい勝手に　たまげとけ
